Point Number , Temperature ,Uncertainty,,,,,
349,53.952871,0.061388356,,,,,
350,53.952871,0.061388356,,,,,
351,53.952871,0.061388356,,,,,
352,53.952871,0.061388356,,,,,
353,54.287259,0.061770222,,,,,
354,54.26966,0.061750124,,,,,
355,54.322458,0.061810419,,,,,
356,53.917672,0.061348159,,,,,
357,54.340057,0.061830517,,,,,
358,54.199262,0.061669731,,,,,
359,54.26966,0.061750124,,,,,
360,54.287259,0.061770222,,,,,
361,53.900073,0.061328062,,,,,
362,53.900073,0.061328062,,,,,
363,54.287259,0.061770222,,,,,
364,53.935272,0.061368258,,,,,
365,54.26966,0.061750124,,,,,
366,53.882473,0.061307963,,,,,
367,53.917672,0.061348159,,,,,
368,54.445654,0.061951107,,,,,
369,54.234461,0.061709928,,,,,
370,53.900073,0.061328062,,,,,
371,53.882473,0.061307963,,,,,
372,54.26966,0.061750124,,,,,
373,54.252061,0.061730027,,,,,
374,53.847275,0.061267767,,,,,
375,54.216862,0.06168983,,,,,
376,54.111265,0.06156924,,,,,
377,53.864874,0.061287865,,,,,
378,54.199262,0.061669731,,,,,
379,53.864874,0.061287865,,,,,
380,54.181663,0.061649633,,,,,
381,54.164064,0.061629535,,,,,
382,53.847275,0.061267767,,,,,
383,53.882473,0.061307963,,,,,
384,53.864874,0.061287865,,,,,
385,53.829675,0.061247668,,,,,
386,54.410455,0.06191091,,,,,
387,54.164064,0.061629535,,,,,
388,53.794477,0.061207473,,,,,
389,54.234461,0.061709928,,,,,
390,54.146464,0.061609436,,,,,
391,53.882473,0.061307963,,,,,
392,54.234461,0.061709928,,,,,
393,53.864874,0.061287865,,,,,
394,53.864874,0.061287865,,,,,
395,54.199262,0.061669731,,,,,
396,53.812076,0.06122757,,,,,
397,53.864874,0.061287865,,,,,
398,53.829675,0.061247668,,,,,
399,53.829675,0.061247668,,,,,
400,54.199262,0.061669731,,,,,
401,54.252061,0.061730027,,,,,
402,54.234461,0.061709928,,,,,
403,54.199262,0.061669731,,,,,
404,53.847275,0.061267767,,,,,
405,54.234461,0.061709928,,,,,
406,54.111265,0.06156924,,,,,
407,54.093666,0.061549142,,,,,
408,53.882473,0.061307963,,,,,
409,54.199262,0.061669731,,,,,
410,54.216862,0.06168983,,,,,
411,53.864874,0.061287865,,,,,
412,54.181663,0.061649633,,,,,
413,53.864874,0.061287865,,,,,
414,53.847275,0.061267767,,,,,
415,53.864874,0.061287865,,,,,
416,53.882473,0.061307963,,,,,
417,54.164064,0.061629535,,,,,
418,54.216862,0.06168983,,,,,
419,53.882473,0.061307963,,,,,
420,54.234461,0.061709928,,,,,
421,53.864874,0.061287865,,,,,
422,53.864874,0.061287865,,,,,
423,53.952871,0.061388356,,,,,
424,53.847275,0.061267767,,,,,
425,54.357657,0.061850616,,,,,
426,54.26966,0.061750124,,,,,
427,54.357657,0.061850616,,,,,
428,53.900073,0.061328062,,,,,
429,53.864874,0.061287865,,,,,
430,54.216862,0.06168983,,,,,
